Day,Revenue
1972-01-01,0.0
1972-01-02,0.000793191
1972-01-03,0.825541786
1972-01-04,0.32033228
1972-01-05,1.082554085
1972-01-06,0.107653784
1972-01-07,0.493901361
1972-01-08,0.376698452
1972-01-09,0.304074848
1972-01-10,0.591747849
1972-01-11,0.731018901
1972-01-12,1.111586215
1972-01-13,0.960902689
1972-01-14,0.964013419
1972-01-15,0.979731886
1972-01-16,1.085546892
1972-01-17,1.262549787
1972-01-18,1.331183307
1972-01-19,1.411429732
1972-01-20,1.709116779
1972-01-21,1.735783527
1972-01-22,1.760959886
1972-01-23,2.558601513
1972-01-24,1.48420495
1972-01-25,2.089944633
1972-01-26,2.840568572
1972-01-27,2.162204307
1972-01-28,3.113269737
1972-01-29,2.746580938
1972-01-30,3.079242819
1972-01-31,2.647838543
1972-02-01,3.118230798
1972-02-02,2.442888497
1972-02-03,3.042407809
1972-02-04,3.012894439
1972-02-05,3.290825745
1972-02-06,3.274029416
1972-02-07,3.586805202
1972-02-08,3.170426377
1972-02-09,3.572077947
1972-02-10,2.693130469
1972-02-11,2.399656142
1972-02-12,2.433776379
1972-02-13,2.593848576
1972-02-14,3.323496491
1972-02-15,2.951387252
1972-02-16,3.216948781
1972-02-17,2.877026963
1972-02-18,3.057523831
1972-02-19,2.858495329
1972-02-20,2.533082553
1972-02-21,3.223959721
1972-02-22,2.973617615
1972-02-23,3.360834071
1972-02-24,2.31040157
1972-02-25,1.843596513
1972-02-26,1.631977575
1972-02-27,1.644604449
1972-02-28,1.497246827
1972-02-29,1.267859555
1972-03-01,1.587253694
1972-03-02,2.131085418
1972-03-03,1.995083459
1972-03-04,2.330776602
1972-03-05,1.742724907
1972-03-06,2.588660848
1972-03-07,1.505169543
1972-03-08,2.226315816
1972-03-09,2.973069578
1972-03-10,2.72388059
1972-03-11,2.964093274
1972-03-12,3.88820192
1972-03-13,3.938590458
1972-03-14,5.138308366
1972-03-15,5.482323172
1972-03-16,6.133334991
1972-03-17,6.366939393
1972-03-18,6.434758029
1972-03-19,6.102308899
1972-03-20,6.236527145
1972-03-21,6.815921859
1972-03-22,7.07286465
1972-03-23,6.274130876
1972-03-24,7.375977982
1972-03-25,6.916245052
1972-03-26,7.408050282
1972-03-27,7.863842943
1972-03-28,6.783895049
1972-03-29,7.583081086
1972-03-30,7.763779393
1972-03-31,7.344577122
1972-04-01,7.982311471
1972-04-02,6.946042709
1972-04-03,7.495289393
1972-04-04,7.450862838
1972-04-05,6.82734429
1972-04-06,7.095401048
1972-04-07,6.322858273
1972-04-08,6.453783819
1972-04-09,6.90142039
1972-04-10,6.364222316
1972-04-11,6.487956156
1972-04-12,6.055526889
1972-04-13,6.416777674
1972-04-14,6.695885552
1972-04-15,6.381637205
1972-04-16,6.151061938
1972-04-17,6.604086168
1972-04-18,7.181114215
1972-04-19,7.946744172
1972-04-20,8.034009599
1972-04-21,8.034351705
1972-04-22,7.944531429
1972-04-23,7.573324241
1972-04-24,7.164514393
1972-04-25,6.309727531
1972-04-26,7.418626769
1972-04-27,7.00182315
1972-04-28,8.029547488
1972-04-29,7.330337859
1972-04-30,7.606007772
1972-05-01,7.110366293
1972-05-02,7.131337879
1972-05-03,6.76488602
1972-05-04,7.260526894
1972-05-05,7.544141343
1972-05-06,7.33093608
1972-05-07,7.568258573
1972-05-08,7.486801358
1972-05-09,8.117012517
1972-05-10,7.415766826
1972-05-11,7.780389211
1972-05-12,7.830950713
1972-05-13,7.92206928
1972-05-14,7.76971031
1972-05-15,8.176501818
1972-05-16,7.753128355
1972-05-17,7.44780328
1972-05-18,6.606752799
1972-05-19,7.60677813
1972-05-20,7.157498503
1972-05-21,7.218478047
1972-05-22,7.485049457
1972-05-23,7.152312945
1972-05-24,7.506441261
1972-05-25,7.029261517
1972-05-26,7.06516091
1972-05-27,6.585496947
1972-05-28,6.108246159
1972-05-29,5.913673164
1972-05-30,6.844251596
1972-05-31,5.936896508
1972-06-01,7.146617054
1972-06-02,5.698388374
1972-06-03,6.41938589
1972-06-04,5.351951701
1972-06-05,6.013657257
1972-06-06,5.676967765
1972-06-07,5.362054145
1972-06-08,5.136908683
1972-06-09,6.13872931
1972-06-10,5.468684959
1972-06-11,5.457250359
1972-06-12,6.305916197
1972-06-13,6.15007653
1972-06-14,6.565829307
